source_figure,flow,Re_per_m_e6,M,x_m,value,unit,unc_paper_pct,unc_digitization,reader_spread,provenance,note
Fig8,Noisy,4.6,4.9,0.208,0.02855,kPa,3,0.00018,0.00101,visual-estimate-rendered-pdf,noisy HWT-5; marker read
Fig8,Noisy,4.6,4.9,0.246,0.02897,kPa,3,0.00018,0.0007,visual-estimate-rendered-pdf,noisy HWT-5; marker read
Fig8,Noisy,4.6,4.9,0.284,0.03017,kPa,3,0.00018,1e-05,visual-estimate-rendered-pdf,noisy HWT-5; marker read
Fig8,Noisy,4.6,4.9,0.322,0.02625,kPa,3,0.00018,0.00022,visual-estimate-rendered-pdf,noisy HWT-5; marker read
Fig8,Noisy,4.6,4.9,0.36,0.02832,kPa,3,0.00018,0.00027,visual-estimate-rendered-pdf,noisy HWT-5; marker read
Fig8,Noisy,4.6,4.9,0.398,0.03028,kPa,3,0.00018,4e-05,visual-estimate-rendered-pdf,noisy HWT-5; marker read
Fig8,Noisy,4.6,4.9,0.452,0.03316,kPa,3,0.00018,7e-05,visual-estimate-rendered-pdf,noisy HWT-5; marker read
Fig8,Noisy,4.6,4.9,0.49,0.03138,kPa,3,0.00018,0.00011,visual-estimate-rendered-pdf,noisy HWT-5; marker read
Fig8,Noisy,5.7,4.9,0.208,0.02949,kPa,3,0.00018,0.00031,visual-estimate-rendered-pdf,noisy HWT-5; marker read
Fig8,Noisy,5.7,4.9,0.246,0.03039,kPa,3,0.00018,0.00013,visual-estimate-rendered-pdf,noisy HWT-5; marker read
Fig8,Noisy,5.7,4.9,0.284,0.03219,kPa,3,0.00018,3e-05,visual-estimate-rendered-pdf,noisy HWT-5; marker read
Fig8,Noisy,5.7,4.9,0.322,0.02792,kPa,3,0.00018,0.00029,visual-estimate-rendered-pdf,noisy HWT-5; marker read
Fig8,Noisy,5.7,4.9,0.36,0.03064,kPa,3,0.00018,0.00035,visual-estimate-rendered-pdf,noisy HWT-5; marker read
Fig8,Noisy,5.7,4.9,0.398,0.03206,kPa,3,0.00018,1e-05,visual-estimate-rendered-pdf,noisy HWT-5; marker read
Fig8,Noisy,5.7,4.9,0.452,0.03498,kPa,3,0.00018,3e-05,visual-estimate-rendered-pdf,noisy HWT-5; marker read
