source_figure,flow,Re_per_m_e6,M,x_m,value,unit,unc_paper_pct,unc_digitization,reader_spread,provenance,note
Fig4.16(thesis),Noisy,5.0,7.8,0.208,0.047,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,5.0,7.8,0.246,0.0463,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,5.0,7.8,0.284,0.0506,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,5.0,7.8,0.322,0.0498,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,5.0,7.8,0.36,0.0481,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,5.0,7.8,0.398,0.0491,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,5.0,7.8,0.452,0.0499,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,5.0,7.8,0.49,0.0542,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,5.6,7.8,0.208,0.0454,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,5.6,7.8,0.246,0.0432,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,5.6,7.8,0.284,0.0465,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,5.6,7.8,0.322,0.0479,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,5.6,7.8,0.36,0.0448,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,5.6,7.8,0.398,0.0483,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,5.6,7.8,0.452,0.049,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,5.6,7.8,0.49,0.0537,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,6.9,7.8,0.208,0.0409,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,6.9,7.8,0.246,0.0252,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,6.9,7.8,0.284,0.0437,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,6.9,7.8,0.322,0.0252,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,6.9,7.8,0.36,0.0433,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
Fig4.16(thesis),Noisy,6.9,7.8,0.398,0.0466,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,6.9,7.8,0.452,0.0507,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,6.9,7.8,0.49,0.0548,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,7.5,7.8,0.208,0.0416,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,7.5,7.8,0.246,0.0389,p_rms/p_e,10,0.002,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); well-separated"
Fig4.16(thesis),Noisy,7.5,7.8,0.284,0.0413,p_rms/p_e,10,0.004,0.002,visual-estimate-rendered-pdf,"Casper thesis Fig 4.16 HWT-8 noisy p~/pe vs x; Reader A=color-seg, Reader B=visual on calibrated y-grid (orange rep curve |A-B|~0.002); MID-CONE TANGLE: curves cross here, larger occlusion unc"
