run,Rn_mm,Re_per_m,ST_m,dST_m,ReinfN,ST_Xsw,ReinfST,ReST,RethetaST,regime_vs_eN_bound
3742,0.152,15000000.0,0.254,0.0508,2290.0,16.9,3820000.0,6850000.0,541.1,benign_eN_valid
3743,0.152,6400000.0,0.356,0.1016,975.0,31.5,2280000.0,4280000.0,422.3,benign_eN_valid
3745,0.152,1810000.0,0.838,0.127,276.0,113.1,1520000.0,2570000.0,362.8,benign_eN_valid
3746,5.08,17000000.0,0.683,0.128,86300.0,0.407,11600000.0,3820000.0,631.9,benign_eN_valid
3747,12.7,16900000.0,1.015,0.1278,214000.0,0.179,17100000.0,2500000.0,622.4,benign_eN_valid
3748,5.08,29900000.0,0.683,0.128,152000.0,0.337,20400000.0,3820000.0,785.4,benign_eN_valid
3749,9.53,30000000.0,0.653,0.128,286000.0,0.139,19600000.0,2430000.0,550.8,benign_eN_valid
3750,12.7,30300000.0,0.759,0.128,385000.0,0.11,23000000.0,2280000.0,531.9,benign_eN_valid
3752,9.53,17100000.0,1.037,0.128,163000.0,0.267,17700000.0,3660000.0,661.3,benign_eN_valid
3753,50.8,17100000.0,0.76,0.128,868000.0,0.021,13000000.0,876000.0,408.0,failure_2ndmode_absent
3754,50.8,22800000.0,0.632,0.1279,1160000.0,0.016,14400000.0,981000.0,445.0,failure_2ndmode_absent
3755,50.8,31000000.0,0.504,0.128,1580000.0,0.011,15600000.0,1100000.0,489.8,failure_2ndmode_absent
3756,25.4,30700000.0,0.546,0.1279,781000.0,0.031,16800000.0,1150000.0,422.4,failure_2ndmode_absent
3757,25.4,22800000.0,0.674,0.128,579000.0,0.043,15400000.0,1080000.0,400.0,failure_2ndmode_absent
3758,25.4,16800000.0,1.058,0.1282,428000.0,0.074,17800000.0,1440000.0,498.1,failure_2ndmode_absent
