row,Re,Pr,x_over_D,fc_Btu_hr_ft2_F,fc_unc_visual,Nu_meas,Nu_unc_paper_pct,Nu_unc_digitization_pct,source,figure,entering_condition,note
# Two-reader cross-validated visual reads from Fig 10 (bellmouth entrance).
# Readers: Vishnu (independent) + Claude-main (independent). Agreed within
# visual precision on asymptotes (exact on curves 1/2/5; within 0.5-0.8 on
# crowded middle curves 3/4) and entrance peaks (within ~1 unit).
#
# Noise model (user-directed, conservative for visual precision):
#   paper_unc_pct = 3.0  (NACA TN-1451 reproducibility, fixed)
#   dig_unc_pct   = 5.0  (CONSERVATIVE FLOOR for visual reads; deliberately
#                         larger than WPD precision to bias against false lift)
# Nu = fc * D_h_ft / k_air where D_h_ft=0.14875, k_air=0.0157, factor≈9.475
# Source tag: 'cross_validated_visual' (NOT 'wpd-csv' — visual precision,
# but two-reader-agreed, distinct from solo-visual triage).
1,55570,0.71,1,17.0,1.0,161.07,0.03,0.05,cross_validated_visual,Fig10,bellmouth,entrance peak two-reader agreed
2,55570,0.71,2,14.5,1.0,137.38,0.03,0.05,cross_validated_visual,Fig10,bellmouth,entrance
3,55570,0.71,3,12.5,0.7,118.43,0.03,0.05,cross_validated_visual,Fig10,bellmouth,entrance descending
4,55570,0.71,4,12.0,0.5,113.69,0.03,0.05,cross_validated_visual,Fig10,bellmouth,entrance
5,55570,0.71,5,12.0,0.5,113.69,0.03,0.05,cross_validated_visual,Fig10,bellmouth,entrance/shoulder
6,55570,0.71,6,11.5,0.5,108.96,0.03,0.05,cross_validated_visual,Fig10,bellmouth,shoulder
7,55570,0.71,7,11.5,0.5,108.96,0.03,0.05,cross_validated_visual,Fig10,bellmouth,shoulder
8,55570,0.71,8,11.5,0.5,108.96,0.03,0.05,cross_validated_visual,Fig10,bellmouth,shoulder
9,55570,0.71,9,11.5,0.5,108.96,0.03,0.05,cross_validated_visual,Fig10,bellmouth,shoulder approaching asymptote
10,55570,0.71,10,11.0,0.5,104.22,0.03,0.05,cross_validated_visual,Fig10,bellmouth,asymptote (do-no-harm cell starts)
11,55570,0.71,11,11.0,0.5,104.22,0.03,0.05,cross_validated_visual,Fig10,bellmouth,asymptote
12,55570,0.71,12,11.0,0.5,104.22,0.03,0.05,cross_validated_visual,Fig10,bellmouth,asymptote
13,55570,0.71,13,11.0,0.5,104.22,0.03,0.05,cross_validated_visual,Fig10,bellmouth,asymptote
14,55570,0.71,14,11.0,0.5,104.22,0.03,0.05,cross_validated_visual,Fig10,bellmouth,asymptote
15,55570,0.71,15,11.0,0.5,104.22,0.03,0.05,cross_validated_visual,Fig10,bellmouth,asymptote
16,55570,0.71,16,11.0,0.5,104.22,0.03,0.05,cross_validated_visual,Fig10,bellmouth,asymptote
17,55570,0.71,17,11.0,0.5,104.22,0.03,0.05,cross_validated_visual,Fig10,bellmouth,asymptote
18,50600,0.71,1,16.0,1.0,151.60,0.03,0.05,cross_validated_visual,Fig10,bellmouth,entrance peak
19,50600,0.71,2,13.0,1.0,123.18,0.03,0.05,cross_validated_visual,Fig10,bellmouth,entrance
20,50600,0.71,3,11.5,0.7,108.96,0.03,0.05,cross_validated_visual,Fig10,bellmouth,entrance
21,50600,0.71,4,10.5,0.5,99.49,0.03,0.05,cross_validated_visual,Fig10,bellmouth,entrance
22,50600,0.71,5,10.5,0.5,99.49,0.03,0.05,cross_validated_visual,Fig10,bellmouth,entrance/shoulder
23,50600,0.71,6,10.5,0.5,99.49,0.03,0.05,cross_validated_visual,Fig10,bellmouth,shoulder
24,50600,0.71,7,10.5,0.5,99.49,0.03,0.05,cross_validated_visual,Fig10,bellmouth,shoulder
25,50600,0.71,8,10.5,0.5,99.49,0.03,0.05,cross_validated_visual,Fig10,bellmouth,shoulder
