test,station,p_MPa,G_kg_m2s,U_V,I_A,qw_kW_m2,Tin_C,dp_bar,Two_C,Twi_C,hb_kJ_kg,Tb_C,alpha_W_m2K,unc_qw_W_m2,unc_Two_C,unc_hb_J_kg,unc_alpha_W_m2K,rho_b,mu_b_uPa_s,lam_b_mWmK,cp_b,Pr_b,rho_w,mu_w_uPa_s,lam_w_mWmK,Re_b,Nu_meas,ratio_rho_w_b,ratio_mu_w_b,ratio_lam_w_b,T_pc_C,dT_b_to_pc_K,abs_dT_pc_K,near_pc,hb_coolprop_kJkg,hb_residual_kJkg
T1,1,10,447.4,6.5,6.4,9.5,20.1,0.13,28.10,28.00,250.30,22.83,1826.75,13.36,0.50,20.72,123.68,835.146,78.1470,93.1346,2748.02,2.30580,791.080,69.9919,86.7503,5038.10,17.2604,0.94723,0.89564,0.93145,45.01,-22.180,22.180,False,250.291,0.009
T1,2,10,447.4,6.5,6.4,9.5,20.1,0.13,31.30,31.20,258.75,25.82,1756.13,13.36,0.50,20.72,114.31,810.664,73.4698,89.4739,2919.65,2.39741,758.849,64.7127,82.6703,5358.83,17.2720,0.93608,0.88081,0.92396,45.01,-19.190,19.190,False,258.752,-0.002
T1,3,10,447.4,6.5,6.4,9.5,20.1,0.13,35.35,35.25,267.21,28.62,1425.13,13.36,0.50,20.72,75.29,785.190,68.9878,85.9670,3130.78,2.51242,709.373,57.5189,77.4543,5706.98,14.5883,0.90344,0.83375,0.90098,45.01,-16.390,16.390,False,267.209,0.001
T1,4,10,447.4,6.5,6.4,9.5,20.1,0.13,37.91,37.81,275.67,31.22,1432.37,13.36,0.50,20.72,76.05,758.631,64.6788,82.6446,3393.51,2.65581,670.062,52.4582,74.2969,6087.19,15.2519,0.88325,0.81106,0.89899,45.01,-13.790,13.790,False,275.673,-0.003
T1,5,10,447.4,6.5,6.4,9.5,20.1,0.13,39.84,39.74,284.13,33.60,1537.48,13.36,0.50,20.72,87.62,731.017,60.5429,79.5714,3726.94,2.83569,634.001,48.2486,72.1373,6503.03,17.0034,0.86729,0.79693,0.90657,45.01,-11.410,11.410,False,284.124,0.006
T1,6,10,447.4,6.5,6.4,9.5,20.1,0.13,41.80,41.70,292.58,35.75,1587.33,13.36,0.50,20.72,93.39,702.307,56.5699,76.8212,4156.44,3.06074,589.767,43.5824,70.2253,6959.75,18.1831,0.83976,0.77042,0.91414,45.01,-9.260,9.260,False,292.571,0.009
T1,7,10,447.4,6.5,6.4,9.5,20.1,0.13,43.26,43.16,301.04,37.67,1720.06,13.36,0.50,20.72,109.66,672.436,52.7492,74.4626,4701.67,3.33065,551.160,39.9123,68.8444,7463.85,20.3277,0.81965,0.75664,0.92455,45.01,-7.340,7.340,False,301.045,-0.005
T1,8,10,447.4,6.5,6.4,9.5,20.1,0.13,44.71,44.62,309.50,39.36,1795.71,13.36,0.50,20.72,119.52,641.635,49.1078,72.5420,5357.76,3.62697,509.212,36.3137,66.8048,8017.29,21.7836,0.79362,0.73947,0.92091,45.01,-5.650,5.650,False,309.519,-0.019
T1,9,10,447.4,6.5,6.4,9.5,20.1,0.13,45.68,45.58,317.95,40.84,1990.32,13.36,0.50,20.72,146.82,610.226,45.6763,71.0284,6097.22,3.92095,481.849,34.1723,64.9016,8619.61,24.6589,0.78962,0.74814,0.91374,45.01,-4.170,4.170,True,317.975,-0.025
T1,10,10,447.4,6.5,6.4,9.5,20.1,0.13,47.16,47.06,326.41,42.14,1920.46,13.36,0.50,20.72,136.70,578.633,42.4872,69.8276,6879.38,4.18582,443.120,31.4075,61.3918,9266.61,24.2025,0.76580,0.73922,0.87919,45.01,-2.870,2.870,True,326.399,0.011
T1,11,10,447.4,6.5,6.4,9.5,20.1,0.13,49.09,48.99,334.87,43.31,1661.84,13.36,0.50,20.72,102.37,546.949,39.5332,68.6792,7592.41,4.37035,401.816,28.7937,56.3923,9959.02,21.2935,0.73465,0.72834,0.82110,45.01,-1.700,1.700,True,334.875,-0.005
T1,12,10,447.4,6.5,6.4,9.5,20.1,0.13,51.04,50.94,343.32,44.39,1440.94,13.36,0.50,20.72,76.97,515.883,36.8601,67.1964,8013.99,4.39601,370.152,27.0241,51.9498,10681.26,18.8705,0.71751,0.73315,0.77310,45.01,-0.620,0.620,True,343.334,-0.014
T1,13,10,447.4,6.5,6.4,9.5,20.1,0.13,52.63,52.54,351.78,45.44,1330.52,13.36,0.50,20.72,65.63,485.761,34.4688,65.2033,8051.80,4.25648,349.750,25.9943,48.9632,11422.26,17.9570,0.72000,0.75414,0.75093,45.01,0.430,0.430,True,351.802,-0.022
T1,14,10,447.4,6.5,6.4,9.5,20.1,0.13,54.37,54.27,360.24,46.50,1215.56,13.36,0.50,20.72,54.78,457.142,32.3732,62.7860,7767.32,4.00492,331.714,25.1589,46.3124,12161.68,17.0371,0.72563,0.77715,0.73762,45.01,1.490,1.490,True,360.207,0.033
T1,15,10,447.4,6.5,6.4,9.5,20.1,0.13,55.34,55.24,368.70,47.63,1241.05,13.36,0.50,20.72,57.10,429.770,30.5251,59.9107,7200.96,3.66896,322.998,24.7814,45.0448,12897.99,18.2292,0.75156,0.81184,0.75187,45.01,2.620,2.620,True,368.686,0.014
T1,16,10,447.4,6.5,6.4,9.5,20.1,0.13,56.38,56.28,377.15,48.87,1274.31,13.36,0.50,20.72,60.20,404.070,28.9274,56.6932,6450.90,3.29154,314.547,24.4324,43.8326,13610.34,19.7800,0.77845,0.84461,0.77315,45.01,3.860,3.860,True,377.152,-0.002
T1,17,10,447.4,6.5,6.4,9.5,20.1,0.13,57.88,57.78,385.61,50.27,1256.67,13.36,0.50,20.72,58.55,380.064,27.5560,53.3752,5666.51,2.92544,303.703,24.0099,42.3119,14287.73,20.7188,0.79908,0.87132,0.79273,45.01,5.260,5.260,False,385.619,-0.009
T1,18,10,447.4,6.5,6.4,9.5,20.1,0.13,59.38,59.29,394.07,51.87,1273.14,13.36,0.50,20.72,60.09,357.789,26.3895,50.1454,4935.77,2.59750,294.092,23.6605,41.0068,14919.26,22.3423,0.82197,0.89659,0.81776,45.01,6.860,6.860,False,394.077,-0.007
T1,19,10,447.4,6.5,6.4,9.5,20.1,0.13,61.68,61.58,402.52,53.71,1199.95,13.36,0.50,20.72,53.38,337.170,25.4040,47.1119,4291.75,2.31422,281.466,23.2390,39.3695,15498.04,22.4138,0.83479,0.91478,0.83566,45.01,8.700,8.700,False,402.539,-0.019
