x_over_D,Re,Nu_measured,role,closure_validity_fired,novelty_density_fired,gp_variance_fired
10.0,55570.0,104.22,training,,,
11.0,55570.0,104.22,training,,,
12.0,55570.0,104.22,training,,,
13.0,55570.0,104.22,training,,,
14.0,55570.0,104.22,training,,,
15.0,55570.0,104.22,training,,,
16.0,55570.0,104.22,training,,,
17.0,55570.0,104.22,training,,,
10.0,50600.0,94.75,training,,,
11.0,50600.0,94.75,training,,,
12.0,50600.0,94.75,training,,,
13.0,50600.0,94.75,training,,,
14.0,50600.0,94.75,training,,,
15.0,50600.0,94.75,training,,,
16.0,50600.0,94.75,training,,,
17.0,50600.0,94.75,training,,,
10.0,41800.0,80.54,training,,,
11.0,41800.0,80.54,training,,,
12.0,41800.0,80.54,training,,,
13.0,41800.0,80.54,training,,,
14.0,41800.0,80.54,training,,,
15.0,41800.0,80.54,training,,,
16.0,41800.0,80.54,training,,,
17.0,41800.0,80.54,training,,,
10.0,36500.0,73.91,training,,,
11.0,36500.0,73.91,training,,,
12.0,36500.0,73.91,training,,,
13.0,36500.0,73.91,training,,,
14.0,36500.0,73.91,training,,,
15.0,36500.0,73.91,training,,,
16.0,36500.0,73.91,training,,,
17.0,36500.0,73.91,training,,,
10.0,26400.0,56.85,training,,,
11.0,26400.0,56.85,training,,,
12.0,26400.0,56.85,training,,,
13.0,26400.0,56.85,training,,,
14.0,26400.0,56.85,training,,,
15.0,26400.0,56.85,training,,,
16.0,26400.0,56.85,training,,,
17.0,26400.0,56.85,training,,,
1.0,55570.0,161.07,entrance,True,False,False
2.0,55570.0,137.38,entrance,True,False,False
3.0,55570.0,118.43,entrance,True,False,False
4.0,55570.0,113.69,entrance,True,False,False
5.0,55570.0,113.69,entrance,True,False,False
6.0,55570.0,108.96,entrance,True,False,False
7.0,55570.0,108.96,entrance,True,False,False
8.0,55570.0,108.96,entrance,True,False,False
9.0,55570.0,108.96,entrance,True,False,False
1.0,50600.0,151.6,entrance,True,False,False
2.0,50600.0,123.18,entrance,True,False,False
3.0,50600.0,108.96,entrance,True,False,False
4.0,50600.0,99.49,entrance,True,False,False
5.0,50600.0,99.49,entrance,True,False,False
6.0,50600.0,99.49,entrance,True,False,False
7.0,50600.0,99.49,entrance,True,False,False
8.0,50600.0,99.49,entrance,True,False,False
9.0,50600.0,99.49,entrance,True,False,False
1.0,41800.0,123.18,entrance,True,False,False
2.0,41800.0,104.22,entrance,True,False,False
3.0,41800.0,90.01,entrance,True,False,False
4.0,41800.0,85.27,entrance,True,False,False
5.0,41800.0,82.91,entrance,True,False,False
6.0,41800.0,80.54,entrance,True,False,False
7.0,41800.0,80.54,entrance,True,False,False
8.0,41800.0,80.54,entrance,True,False,False
9.0,41800.0,80.54,entrance,True,False,False
1.0,36500.0,104.22,entrance,True,False,False
2.0,36500.0,85.27,entrance,True,False,False
3.0,36500.0,71.07,entrance,True,False,False
4.0,36500.0,66.32,entrance,True,False,False
5.0,36500.0,71.07,entrance,True,False,False
6.0,36500.0,71.07,entrance,True,False,False
7.0,36500.0,71.07,entrance,True,False,False
8.0,36500.0,71.07,entrance,True,False,False
9.0,36500.0,73.91,entrance,True,False,False
1.0,26400.0,104.22,entrance,True,False,False
2.0,26400.0,75.8,entrance,True,False,False
3.0,26400.0,47.37,entrance,True,False,False
4.0,26400.0,47.37,entrance,True,False,False
5.0,26400.0,52.11,entrance,True,False,False
6.0,26400.0,56.85,entrance,True,False,False
7.0,26400.0,56.85,entrance,True,False,False
8.0,26400.0,56.85,entrance,True,False,False
9.0,26400.0,56.85,entrance,True,False,False
