x_over_D,comparable,Nu_surrogate,Nu_control_gravity_off_CFD,Nu_measured_gravity_on,surrogate_error_vs_control_pct,surrogate_error_vs_measurement_pct,ood_distance_score,ood_gp_variance_score,ood_at_p99,materiality_gravity_off,materiality_gravity_on
0.31,False,54.96,54.97,33.72,-0.03,+63.0,0.000,0.0009,quiet,0.000,0.001
0.85,False,36.52,36.55,32.69,-0.08,+11.7,0.001,0.0016,quiet,0.000,0.003
2.45,True,24.35,24.36,22.15,-0.02,+9.9,0.003,0.0025,quiet,0.000,0.006
5.65,True,17.85,17.86,19.07,-0.06,-6.4,0.008,0.0036,quiet,0.000,0.012
9.92,True,14.53,14.53,14.92,-0.04,-2.6,0.013,0.0044,quiet,0.000,0.020
16.32,True,12.17,12.18,13.95,-0.04,-12.8,0.021,0.0053,quiet,0.000,0.032
33.39,True,9.58,9.58,10.76,-0.02,-11.0,0.046,0.0067,quiet,0.000,0.061
50.47,True,8.44,8.44,9.38,-0.01,-10.0,0.063,0.0076,quiet,0.000,0.087
67.55,True,7.78,7.78,9.37,-0.01,-17.0,0.087,0.0082,quiet,0.000,0.111
101.69,True,7.00,7.00,8.41,-0.00,-16.8,0.142,0.0091,quiet,0.000,0.154
135.84,True,6.55,6.55,7.99,+0.03,-18.0,0.167,0.0098,quiet,0.000,0.195
159.33,False,6.34,6.33,8.82,+0.20,-28.1,0.195,0.0101,quiet,0.000,0.221
