x_over_D,distance_gravity_off,distance_gravity_on,gp_gravity_off,gp_gravity_on,identical
0.31,0.00043163983506955164,0.00043163983506955164,0.0008859597764462341,0.0008859597764462341,True
0.85,0.001133576049406096,0.001133576049406096,0.001567222643510485,0.001567222643510485,True
2.45,0.0033009696839216562,0.0033009696839216562,0.0025360792287198028,0.0025360792287198028,True
5.65,0.007818239106261648,0.007818239106261648,0.0035842936598008746,0.0035842936598008746,True
9.92,0.012669909714754679,0.012669909714754679,0.004404038964741504,0.004404038964741504,True
16.32,0.020532323199410545,0.020532323199410545,0.005257119639022994,0.005257119639022994,True
33.39,0.04590701395513297,0.04590701395513297,0.006681090684056242,0.006681090684056242,True
50.47,0.06333669914597073,0.06333669914597073,0.007580237032839026,0.007580237032839026,True
67.55,0.08738397715494835,0.08738397715494835,0.008230574155741497,0.008230574155741497,True
101.69,0.14161080084934477,0.14161080084934477,0.009143062017134983,0.009143062017134983,True
135.84,0.16713516852935437,0.16713516852935437,0.009771673815203842,0.009771673815203842,True
159.33,0.19497678878953306,0.19497678878953306,0.010117103985989933,0.010117103985989933,True
